"Michelle Miller","1","0","2017-10-25 21:25:09","beds: 439","9"
"Dave Taylor","0","0","2017-12-14 21:06:07","food: 887","1"
"Mitchell Young","0","1","2021-04-21 21:06:31","food: 192","5"
"Yolanda Williams","1","0","2021-05-15 14:57:04","toys: 77","2"
"Samantha Edwards","0","1","2018-10-06 18:15:24","treats: 862","9"
"Wesley Brandt","1","0","2020-02-25 20:49:30","toys: 525","9"
"Gary Choi Jr.","1","0","2018-05-26 18:46:41","toys: 590","2"
"Jessica Moyer","0","0","2018-02-22 19:31:06","beds: 717","2"
"Ryan Baldwin","0","0","2020-03-12 04:28:28","beds: 145","3"
"Joseph Good","0","1","2016-11-29 10:12:51","beds: 878","7"
"Mark James","1","1","2019-08-28 14:50:03","treats: 647","10"
"Jonathan Martinez","1","0","2020-12-12 03:56:18","beds: 636","8"
"James Walsh","0","1","2021-12-16 05:56:30","beds: 408","3"
"Donald Blackwell","0","1","2018-07-11 11:18:09","beds: 196","8"
"Angela Gibson","1","0","2017-05-05 07:59:07","toys: 340","7"
"Jonathan Walker","0","1","2020-06-19 21:28:10","beds: 2","9"
"Amanda Smith","1","0","2018-03-31 15:51:19","toys: 435","9"
"Margaret Moreno","0","1","2016-09-10 08:52:44","toys: 699","3"
"Sandra Cruz","1","1","2018-07-01 19:58:02","food: 206","4"
"Rebecca Mason","0","1","2018-12-06 02:09:27","food: 127","5"
"Lisa Carlson","0","0","2021-08-14 03:57:48","toys: 602","6"
"Jessica Moyer","0","1","2021-01-12 16:05:34","toys: 591","10"
"Sarah Hernandez","0","0","2019-12-19 19:33:00","treats: 269","9"
"John Rodriguez","1","1","2021-02-22 18:17:49","toys: 210","8"
"Laura Martinez","0","0","2016-10-26 22:15:51","beds: 18","7"
"Jodi Jackson","0","0","2021-10-09 15:39:23","beds: 816","8"
"Mr. Aaron Wilson","0","0","2019-04-18 21:19:10","treats: 921","3"
"Todd Beasley","0","1","2021-02-25 02:22:13","toys: 588","10"
"William Williams","0","0","2016-04-14 00:41:49","toys: 324","4"
"Holly Stone","1","0","2021-07-30 07:00:15","food: 440","6"
"Gregory Watkins","1","1","2022-03-04 21:28:51","food: 694","7"
"Richard Smith","1","1","2021-10-15 00:52:58","beds: 200","5"
"Angela Yu","0","1","2017-12-17 15:45:35","beds: 476","5"
"Daniel Moore","0","1","2022-03-09 18:57:27","treats: 523","3"
"George Diaz","1","1","2019-09-24 01:47:59","beds: 899","8"
"Shari Reed","1","0","2020-03-15 14:33:25","treats: 630","1"
"Kathy Mcguire","1","1","2019-05-08 14:11:36","food: 547","4"
"Michael Lambert","0","1","2016-04-06 19:56:09","treats: 473","9"
"Benjamin Nguyen","0","0","2017-03-07 20:00:06","toys: 194","5"
"Ashley Newman","1","0","2018-04-19 08:28:58","toys: 135","4"
"Kenneth Stevens","0","0","2016-08-24 17:52:05","treats: 696","8"
"Karen Davis","1","1","2022-04-11 16:27:21","treats: 486","7"
"Mr. Joshua Walker","1","0","2019-08-01 06:44:22","toys: 868","5"
"Julie Harrison","0","1","2016-01-06 09:36:22","treats: 366","7"
"Jeremiah Alexander","1","0","2017-02-19 23:17:12","toys: 920","10"
"Christine Schneider","0","1","2018-05-24 03:06:05","treats: 809","4"
"Daniel Shepherd","1","1","2018-07-20 13:30:06","toys: 824","6"
"Alicia Sanders","1","1","2020-01-18 19:37:40","treats: 779","4"
"Lisa Johnson","1","0","2018-03-21 21:01:51","beds: 258","8"
"Jessica Welch","1","1","2016-05-23 18:11:07","beds: 325","8"
"Keith Moore","1","1","2019-06-29 00:05:08","beds: 439","6"
"Sarah Villanueva","1","0","2017-02-21 11:05:56","toys: 215","8"
"Charles Palmer","0","0","2019-07-13 05:16:53","beds: 981","4"
"Joseph Smith","0","0","2020-10-11 17:42:52","beds: 345","3"
"Christopher Cooper","1","1","2021-02-11 21:53:39","beds: 528","5"
"Amber Hall","0","0","2019-08-24 23:29:44","treats: 398","6"
"Isabella Harris","0","1","2019-06-23 21:49:56","toys: 225","6"
"Ashley Blair","1","0","2019-07-10 08:30:48","toys: 459","8"
"Nicholas Shaffer","0","1","2020-03-01 16:23:54","food: 438","5"
