"treats: 0","78.01","62.41","125","Sarah Harrison","3fe4d5b78ecfdc6f4e62acbf4649128a5f6d12e4a646d45cb96893e08499679b"
"toys: 1","73.26","58.61","46","Sarah Harrison","39ee377583617d810ae166a20e5388586f8a99729abd0f4d0d6074e55fba1a74"
"beds: 2","88.24","70.59","84","Michael Calderon","decda0376fcb59d8dca15833122ba67ce3eef24522e40c885cc5cf406b56d976"
"toys: 3","27.30","21.84","180","Anthony Garcia","d45d2fc7f43f36c98d12687aa9dd90866be09b800945d25061da4baba90356c6"
"beds: 4","45.09","36.07","109","Brittany Stokes","c261871e52aa4044f893db80f4ccb6e6011acbf599899eac191e913cebea3bd0"
"food: 5","85.17","68.14","127","Mary Clark","e36bf38079da9eeadcdee0c0d82fd891009963c5f1885d56286d9e64625b5877"
"food: 6","72.01","57.61","136","Patricia Young","50508ec513c4ef8fe103bd5460a9332abdfccafcd466475cf5605a5b435e4f48"
"food: 7","27.21","21.77","195","Gloria Carlson","f835e7753ca71db3d068e2532f567978b1b19f9aed9c066bfaae67f5abb17b16"
"treats: 8","87.21","69.77","59","Michelle Christian","a61e33af8758d7bdcab26659345bd788ceb26f288fb91fd21088023bfae0fcea"
"food: 9","18.87","15.1","139","Anita Miller","4b1dc6f727c3f5657296e573d1226db8baa38c88304a75c224ff9f18d6f25b43"
"treats: 10","46.28","37.02","127","Brian Mckinney","77c2f069a971ed9e55993c7ab8bcc0de980ee6b37a14507a5825c70510d50944"
"beds: 11","24.92","19.94","145","Christian Austin","49aef5e1d35c230696b25fb70a4c31a3911ddc8210c403517a38be5858496e74"
"food: 12","80.71","64.57","137","Richard Smith","f0533d6f7fb76da5cd93881939936268becffe487b04cfacbacc1923d51586f3"
"beds: 13","45.09","36.07","190","Brent Reese","755c32b2b895dfe99d8d4896fa28e2579a29d343576bd9d181d3d8ae81b5b787"
"food: 14","92.69","74.15","107","Matthew Cantrell","1b2f30d3c3b21745b74ae17d7ed52d8cb0042917d90a002115310c1f0608ac3b"
"beds: 15","78.40","62.72","120","Heather Spencer","b8fe13851f6f036108a1e67408775925e4162b14a182cdec1d845439bb143059"
"toys: 16","89.02","71.22","119","Todd Rodriguez","43e6c7857a39cb554ea7b193a68f9d77d87a895c854bad45fbae13ff15688cc3"
"beds: 17","62.28","49.82","85","Kimberly Lloyd","1cef93f39afe4a3a5ad9c926010ad3b2dcd1e555a9e69c9baf7e1deff224760f"
"beds: 18","44.86","35.89","91","Mr. William Williams MD","30b315116fdaf06ccf9e48d44f86f7a3a79be10299cc8bac347c7181198efe15"
"toys: 19","66.98","53.58","177","Jessica Brown","d916faf78053542a43fb01bb8169eee2e3143eb21dad05638a25cc48a792721c"
