"Denise Richard","toys: 97","8"
"Virginia Clark","food: 88","3"
"Joanna Sanchez","treats: 23","4"
"Rebekah Rhodes","treats: 44","10"
"Cameron Allen","toys: 75","3"
"Brenda Arroyo","food: 88","0"
"Jimmy Walker","toys: 91","6"
"Karen Floyd","food: 37","7"
"Jonathan Scott","treats: 57","6"
"Alicia Medina","beds: 10","2"
"Mrs. Mary Johnson","treats: 99","1"
"Maria George","treats: 6","8"
"Ashley Savage","treats: 76","1"
"Michelle Thomas DVM","beds: 53","5"
"Danielle Copeland","treats: 45","7"
"Cameron Allen","food: 48","10"
"Whitney Burke","beds: 26","8"
"Daniel Mccall","toys: 91","6"
"Steven Hill","food: 27","4"
"Rodney Moss","food: 83","8"
"Tonya Torres","toys: 47","0"
"Megan Brown","treats: 28","0"
"Karen Floyd","beds: 93","8"
"Sarah Hester","treats: 79","6"
"Robert Shepard","treats: 45","4"
"Danielle Copeland","food: 37","4"
"Matthew Hawkins","toys: 52","5"
"Heather Waller","toys: 97","7"
"Whitney Burke","beds: 31","7"
"Amy Johnson","toys: 54","4"
"Virginia Clark","treats: 58","5"
"Joanna Sanchez","food: 88","8"
"Sheryl Hodges","toys: 14","4"
"Joanna Sanchez","treats: 99","9"
"Karen Floyd","treats: 20","5"
"Gloria Downs","treats: 57","7"
"Richard Michael","toys: 32","1"
"Jamie Adams","toys: 42","0"
"Erica Miller","toys: 75","0"
"Richard Michael","food: 60","5"
"Karen Vargas","beds: 81","6"
"Erica Miller","treats: 5","0"
"Virginia Clark","food: 11","4"
"Timothy Roberts","treats: 6","5"
"Jennifer Conway","food: 68","0"
"Richard Michael","toys: 91","5"
"Maria George","food: 89","6"
"Joanna Sanchez","food: 46","8"
"Mrs. Mary Johnson","food: 88","8"
"Karen Vargas","toys: 98","4"
"Ashley Savage","food: 85","1"
"Heather Waller","food: 56","8"
"Virginia Clark","toys: 90","9"
"Jonathan Scott","treats: 30","5"
"Richard Michael","beds: 31","6"
"Richard Michael","food: 51","4"
"Colleen Fitzpatrick","beds: 41","9"
"Jonathan Scott","toys: 47","10"
"Steven Hill","toys: 71","9"
"Kathleen Arroyo","treats: 30","9"
"Victor Shaw","beds: 55","4"
"Jonathan Scott","food: 46","6"
"Scott Flores","treats: 30","7"
"Erica Miller","toys: 34","5"
"Matthew Hawkins","treats: 23","10"
"Jimmy Walker","beds: 19","10"
"Amanda Jones","beds: 40","3"
"Alicia Medina","food: 56","7"
"Bradley Fitzgerald","toys: 52","7"
"Karen Vargas","food: 89","4"
"Brent Flowers","toys: 71","10"
"Erica Carpenter","beds: 26","0"
"Daniel Mccall","toys: 39","2"
"Sara Lopez","treats: 92","2"
"Tyrone Ortiz","treats: 84","8"
"Joanna Sanchez","beds: 70","7"
"Shannon Jones","treats: 45","3"
"Denise Richard","treats: 64","0"
"Erica Walters","beds: 61","0"
"Erica Carpenter","food: 0","3"
"Ashley Savage","treats: 4","9"
"Travis Taylor","food: 86","6"
"Jamie King","toys: 71","1"
"Debra Diaz","treats: 82","6"
"Alicia Medina","beds: 40","2"
"Mallory Lester","food: 83","9"
"Jamie King","treats: 4","6"
"Emily Osborne","toys: 54","10"
"Shannon Jones","treats: 82","3"
"Nicole Christensen","treats: 82","0"
"Joanna Sanchez","treats: 69","7"
"Maria George","toys: 35","0"
"Angela Ibarra","food: 85","5"
"Heather Waller","treats: 38","8"
"Terry Escobar","food: 74","3"
"Debra Diaz","toys: 63","2"
"Michelle Thomas DVM","treats: 69","0"
"Melinda Rodriguez","food: 96","4"
"Tyrone Ortiz","treats: 64","9"
"Reginald Martin","treats: 58","7"
