"Erica Miller","1","0","2017-04-03 09:46:16","treats: 84","10"
"Anthony Moreno","0","0","2018-05-11 17:22:51","treats: 6","5"
"Charles Kline","1","0","2020-12-18 21:26:33","toys: 97","2"
"April Blake","1","1","2019-02-16 20:01:09","toys: 75","5"
"Ashley Savage","0","0","2020-11-16 07:46:53","toys: 39","10"
"Janet Hughes","0","0","2020-09-16 14:48:25","treats: 50","9"
"Maria George","1","0","2019-07-18 18:38:15","beds: 19","10"
"Kimberly Gonzalez","0","1","2018-12-30 11:12:41","treats: 69","9"
"Brian Jones","1","0","2021-06-05 15:42:44","food: 1","1"
"Bradley Fitzgerald","1","1","2018-10-14 22:42:28","toys: 94","5"
"Sheryl Hodges","1","1","2020-11-09 01:41:09","toys: 14","6"
"Megan Brown","0","0","2019-02-16 16:59:55","food: 89","1"
"Melinda Rodriguez","1","1","2020-04-25 07:01:23","treats: 25","10"
"Gloria Downs","1","0","2021-12-08 20:07:40","toys: 90","9"
"April Blake","0","1","2020-02-14 13:43:36","food: 24","7"
"Rodney Moss","1","1","2016-05-05 01:16:04","toys: 91","3"
"Charles Kline","1","0","2020-11-06 13:47:32","toys: 94","7"
"Brian Jones","0","0","2019-05-13 00:03:24","food: 46","8"
"Tyrone Ortiz","0","0","2020-02-25 23:18:12","treats: 69","6"
"Virginia Clark","1","0","2016-04-27 03:55:21","food: 78","5"
"Tyrone Ortiz","0","1","2018-03-27 05:48:28","toys: 75","6"
"Rebekah Rhodes","0","1","2016-10-07 11:20:49","food: 68","9"
"Daniel Mccall","1","0","2019-06-06 15:06:44","food: 89","8"
"James Hill","0","1","2021-09-14 07:05:20","treats: 3","9"
"Kathleen Arroyo","1","1","2020-06-15 23:12:38","beds: 65","10"
"Brian Jones","1","0","2016-04-22 13:21:42","food: 89","4"
"Ryan Scott","1","1","2020-06-08 03:54:20","food: 48","8"
"Debra Diaz","1","1","2016-12-18 03:17:55","toys: 52","8"
"Jamie Adams","1","0","2016-01-19 12:31:09","beds: 72","5"
"Julie Fernandez","0","1","2016-07-21 10:28:06","beds: 40","7"
"Isaiah Mcmillan","0","1","2019-11-07 03:23:48","beds: 29","1"
"Ashley Wallace","0","0","2020-06-18 08:35:16","beds: 26","8"
"Jamie Adams","1","0","2016-10-20 03:00:46","food: 24","9"
"Bradley Fitzgerald","0","1","2017-10-31 16:28:43","treats: 64","8"
"Rebekah Rhodes","1","1","2021-07-27 01:49:09","food: 86","3"
"Michelle Thomas DVM","1","1","2018-06-13 06:33:54","food: 51","2"
"Isaiah Mcmillan","1","1","2019-02-12 00:09:40","beds: 72","10"
"Shannon Jones","0","1","2021-03-09 18:06:30","food: 33","2"
"Zachary King","0","1","2022-03-27 03:18:58","treats: 84","9"
"Dennis Mann","0","0","2019-10-28 15:00:14","beds: 16","7"
"Andrew Vasquez","1","1","2018-03-22 09:10:21","treats: 44","3"
"Samantha Collins","0","1","2017-04-16 18:26:03","toys: 2","10"
"Karen Floyd","1","0","2016-05-01 02:08:00","food: 66","7"
"Kimberly Nelson","0","0","2018-11-08 02:48:48","treats: 44","7"
"Megan Brown","1","1","2017-11-24 02:20:16","toys: 90","8"
"Marissa Williams","1","1","2017-07-22 05:09:41","food: 78","1"
"Mark Elliott","1","0","2016-04-18 16:16:52","toys: 15","7"
"Brian Jones","0","0","2021-01-18 07:31:59","toys: 62","2"
"Benjamin Singleton","1","0","2018-04-16 19:22:16","treats: 17","6"
"Joseph King","0","0","2020-11-28 15:47:31","food: 7","4"
"April Blake","0","1","2020-12-09 16:22:53","treats: 57","8"
"Jimmy Walker","1","1","2020-01-18 08:57:14","beds: 70","2"
"Mary Williams","0","1","2016-05-20 22:37:22","food: 85","2"
"Ryan Ware","0","0","2020-11-10 22:30:59","toys: 94","2"
"Tonya Torres","1","1","2020-06-19 09:43:26","treats: 99","6"
"Whitney Burke","1","1","2020-11-22 02:28:59","beds: 41","1"
"Amanda Jones","1","0","2017-02-27 05:05:22","beds: 93","8"
"Meghan Jordan","0","1","2020-08-18 04:38:30","food: 74","5"
"Dr. Rebecca Mejia","1","1","2018-12-20 06:47:33","food: 88","10"
"Brent Flowers","1","1","2017-07-25 00:49:17","toys: 71","9"
"Dennis Mann","1","1","2016-07-13 08:26:03","food: 73","4"
"Scott Flores","1","0","2017-01-02 08:28:25","beds: 55","10"
"Kathleen Arroyo","0","1","2021-03-09 20:12:10","treats: 69","4"
"Emily Osborne","1","0","2021-11-07 09:43:58","beds: 95","5"
"Cindy Evans","1","1","2018-08-28 03:44:20","food: 0","4"
"Zachary King","1","0","2022-02-07 19:41:20","food: 96","2"
"Heather Waller","0","0","2019-09-24 16:49:59","beds: 41","1"
"Michele Hoffman","0","0","2022-03-22 20:50:22","toys: 94","5"
"Megan Brown","1","1","2020-08-15 11:58:14","food: 56","3"
"Sharon Hammond","0","1","2018-11-12 02:57:48","beds: 26","9"
"Alexandra Boyd","1","1","2020-11-02 03:05:13","food: 56","9"
"Brenda Arroyo","0","0","2019-11-18 15:52:25","treats: 38","4"
"Marissa Williams","0","1","2018-09-26 14:02:53","beds: 95","10"
"Isaiah Mcmillan","0","1","2022-01-16 14:46:45","food: 74","8"
"Heather Waller","1","1","2019-10-13 03:34:19","food: 73","6"
"Ryan Ware","0","0","2020-10-12 03:32:01","treats: 17","10"
"Scott Flores","1","1","2016-09-30 15:28:32","beds: 9","3"
"Andrew Vasquez","1","0","2017-11-04 12:36:52","beds: 70","5"
"April Blake","0","0","2022-04-07 23:44:31","treats: 92","5"
